Time(long)     ml  xy  press   RR   ir1
1544969854502  73  99  11435   0.85   363591
1544969854720  72  99  11433   0.91   363449
1544969854898  72  99  11434   0.91   366616
1544969855118  72  99  11432   0.91   370548
1544969855304  72  99  11436   0.91   357840
1544969855531  72  99  11433   0.91   356307
1544969855718  72  99  11434   0.91   358711
1544969855935  72  99  11432   0.91   362452
1544969856124  72  99  11436   0.91   358540
1544969856335  72  99  11436   0.91   351505
1544969856518  71  99  11436   0.87   352153
1544969856738  71  99  11434   0.87   356515
1544969856922  71  99  11433   0.87   361241
1544969857147  71  99  11433   0.87   345527
1544969857335  70  99  11435   0.87   345403
1544969857550  70  99  11436   0.87   349979
1544969857737  70  99  11432   0.87   354872
1544969857954  70  99  11435   0.87   343362
1544969858136  69  99  11435   0.89   341052
1544969858360  69  99  11437   0.89   343527
1544969858545  69  99  11434   0.89   348134
1544969858767  69  99  11435   0.89   353691
1544969858949  69  99  11435   0.89   338337
1544969859184  68  99  11432   0.91   339090
1544969859353  68  99  11436   0.91   344065
1544969859574  68  99  11434   0.91   349337
1544969859755  68  99  11434   0.91   337160
1544969859978  68  99  11434   0.88   336877
1544969860166  68  99  11434   0.88   340102
1544969860386  68  99  11434   0.88   345134
1544969860627  68  99  11432   0.88   336950
1544969860792  68  99  11431   0.88   332790
1544969860972  67  99  11431   0.84   335666
1544969861195  67  99  11434   0.84   341098
1544969861377  67  99  11434   0.84   341823
1544969861600  67  99  11434   0.84   329374
1544969861784  67  99  11435   0.84   331613
1544969861968  67  99  11435   0.84   337723
1544969862190  67  99  11434   0.84   337961
1544969862384  67  99  11434   0.84   328203
1544969862592  67  100  11434   0.79   331071
1544969862773  67  100  11433   0.79   337196
1544969862997  67  100  11435   0.79   328868
1544969863193  68  100  11436   0.75   327505
1544969863403  68  100  11434   0.75   331574
1544969863588  68  100  11436   0.75   338303
1544969863807  68  100  11436   0.75   329746
1544969863990  68  99  11436   0.79   330127
1544969864211  68  99  11437   0.79   334387
1544969864394  68  99  11432   0.79   340947
1544969864616  68  99  11435   0.79   338956
1544969864803  68  99  11435   0.79   333636
1544969865022  69  99  11435   0.84   336969
1544969865212  69  99  11437   0.84   343465
1544969865432  69  99  11439   0.84   349375
1544969865607  69  99  11435   0.84   336178
1544969865832  69  99  11433   0.85   338608
1544969866014  69  99  11437   0.85   344768
1544969866252  69  99  11434   0.85   351069
1544969866420  69  99  11436   0.85   342328
1544969866645  70  99  11436   0.92   342196
1544969866832  70  99  11436   0.92   345645
1544969867044  70  99  11437   0.92   351505
1544969867230  70  99  11436   0.92   357753
1544969867453  70  99  11434   0.92   346730
1544969867644  70  99  11436   0.97   348714
1544969867856  70  99  11438   0.97   351992
1544969868087  70  99  11436   0.97   357040
1544969868308  70  99  11435   0.97   362984
1544969868448  70  99  11437   0.97   350040
1544969868663  69  99  11437   0.94   351416
1544969868845  69  99  11438   0.94   355853
1544969869067  69  99  11436   0.94   361042
1544969869254  69  99  11438   0.94   365199
1544969869476  69  99  11435   0.94   351149
1544969869658  69  99  11434   0.96   352262
1544969869924  69  99  11434   0.96   357257
1544969870061  69  99  11437   0.96   362917
1544969870281  69  99  11436   0.96   364389
1544969870467  69  99  11437   0.96   352606
1544969870688  68  99  11436   0.98   353907
1544969870873  68  99  11435   0.98   359061
1544969871094  68  99  11434   0.98   364478
1544969871281  68  99  11436   0.98   352178
1544969871499  67  99  11435   0.92   353282
1544969871680  67  99  11434   0.92   355885
1544969871903  67  99  11433   0.92   361169
1544969872086  67  99  11434   0.92   366286
1544969872309  67  99  11435   0.92   349063
1544969872498  66  99  11436   0.92   349513
1544969872715  66  99  11437   0.92   354535
1544969872908  66  99  11436   0.92   359983
1544969873117  66  99  11437   0.92   352647
1544969873301  66  99  11438   0.92   346242
1544969873523  66  100  11435   0.93   348053
1544969873718  66  100  11436   0.93   353801
1544969873929  66  100  11438   0.93   359786
1544969874114  66  100  11434   0.93   346424
1544969874333  65  100  11433   0.96   345951
1544969874515  65  100  11434   0.96   348707
1544969874698  65  100  11434   0.96   354399
1544969874920  65  100  11436   0.96   359846
1544969875165  65  100  11436   0.96   342943
1544969875333  64  100  11437   0.91   344143
1544969875525  64  100  11435   0.91   349996
1544969875736  64  100  11437   0.91   355901
1544969875917  64  100  11437   0.91   348487
1544969876137  64  100  11436   0.91   342256
1544969876320  64  100  11438   0.94   344498
1544969876542  64  100  11436   0.94   350390
1544969876735  64  100  11438   0.94   356560
1544969876947  64  100  11434   0.94   342558
1544969877153  64  100  11436   0.95   342196
1544969877358  64  100  11438   0.95   345365
1544969877533  64  100  11435   0.95   350660
1544969877755  64  100  11436   0.95   356643
1544969877938  64  100  11436   0.95   341026
1544969878166  63  100  11436   0.92   342629
1544969878354  63  100  11434   0.92   348353
1544969878571  63  100  11435   0.92   354254
1544969878755  63  100  11435   0.92   353179
1544969878969  63  100  11437   0.92   343625
1544969879154  63  100  11438   0.95   345910
1544969879375  63  100  11438   0.95   351349
1544969879561  63  100  11438   0.95   357418
1544969879784  63  100  11435   0.95   354321
1544969879966  63  100  11437   0.95   348471
1544969880191  63  100  11436   0.98   350313
1544969880386  63  100  11434   0.98   355280
1544969880590  63  100  11434   0.98   360548
1544969880774  63  100  11436   0.98   349002
1544969880999  63  100  11435   0.92   351149
1544969881182  63  100  11436   0.92   354503
1544969881408  63  100  11436   0.92   359430
1544969881591  63  100  11433   0.92   359875
1544969881809  63  100  11435   0.92   349309
1544969881987  63  100  11437   0.9   350557
1544969882207  63  100  11437   0.9   355131
1544969882430  63  100  11434   0.9   360380
1544969882615  63  100  11438   0.9   347359
1544969882799  63  100  11436   0.91   348291
1544969883027  63  100  11437   0.91   351164
1544969883205  63  100  11437   0.91   356145
1544969883427  63  100  11434   0.91   353482
1544969883605  63  100  11434   0.91   346830
1544969883831  63  100  11434   0.87   349278
1544969884060  63  100  11435   0.87   354533
1544969884237  63  100  11435   0.87   358547
1544969884422  63  100  11433   0.87   348145
1544969884639  64  100  11433   0.83   351030
1544969884830  64  100  11435   0.83   356136
1544969885044  64  100  11436   0.83   361597
1544969885225  64  100  11435   0.83   351994
1544969885451  64  100  11434   0.86   354546
1544969885639  64  100  11437   0.86   358891
1544969885858  64  100  11437   0.86   363753
1544969886041  64  100  11436   0.86   363631
1544969886260  64  100  11436   0.86   359367
1544969886445  65  100  11436   0.91   362202
1544969886665  65  100  11436   0.91   366802
1544969886847  65  100  11435   0.91   371343
1544969887070  65  100  11436   0.91   362882
1544969887260  65  100  11439   0.91   366012
1544969887480  65  100  11438   0.91   369577
1544969887663  65  100  11436   0.91   373481
1544969887860  65  100  11436   0.91   373433
1544969888062  65  100  11436   0.91   367317
1544969888244  66  100  11436   0.9   369439
1544969888467  66  100  11437   0.9   373420
1544969888664  66  100  11437   0.9   377434
1544969888882  66  100  11436   0.9   367183
1544969889064  66  100  11434   0.92   369404
1544969889286  66  100  11435   0.92   371906
1544969889462  66  100  11434   0.92   375567
1544969889681  66  100  11436   0.92   379901
1544969889864  66  100  11435   0.92   368798
1544969890086  66  100  11436   0.96   370323
1544969890291  66  100  11437   0.96   373636
1544969890493  66  100  11436   0.96   377256
1544969890675  66  100  11434   0.96   381271
1544969890898  66  100  11435   0.96   369246
1544969891124  65  99  11435   0.95   370407
1544969891300  65  99  11435   0.95   374191
1544969891484  65  99  11435   0.95   378009
1544969891711  65  99  11436   0.95   377279
1544969891895  65  99  11437   0.95   369236
1544969892115  65  99  11435   0.97   370775
1544969892345  65  99  11434   0.97   374786
1544969892514  65  99  11436   0.97   378704
1544969892697  65  99  11437   0.97   370483
1544969892921  64  99  11437   0.96   369915
1544969893104  64  99  11435   0.96   371331
1544969893329  64  99  11437   0.96   375107
1544969893515  64  99  11435   0.96   379174
